Block Length,Mode,Target,Model Variant,Feature Set,Scope,Metric,Valid Replicates,2.5%,Median,97.5%
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Average Precision,2000,0.853726941086,0.898093531144,0.931895334558
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Brier Score,2000,0.133836264947,0.153119506545,0.173672197089
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Brier Benchmark Score,2000,0.156810849118,0.176604901841,0.197919441827
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Brier Skill Score vs Training Prior,2000,-0.00808548197154,0.136123952777,0.245667736948
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Log Loss,2000,0.435934464381,0.496335316489,0.567296422796
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Accuracy at 0.50,2000,0.75300321168,0.785668439391,0.818308974808
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Precision at 0.50,2000,0.810677468871,0.847610893673,0.881793850732
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Recall at 0.50,2000,0.848333333333,0.879383807148,0.911663375598
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Specificity at 0.50,2000,0.333333333333,0.471085965209,0.569698731501
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,F1 at 0.50,2000,0.840869146729,0.863247863248,0.886034176883
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Top 10% Rows,2000,74,76,79
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Top 10% Success Rate,2000,0.837837837838,0.960526315789,1
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Top 10% Lift,2000,1.09489206224,1.23662777654,1.32337460896
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Top 20% Rows,2000,147,152,157
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Top 20% Success Rate,2000,0.858108108108,0.918918918919,0.973684210526
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Top 20% Lift,2000,1.11183061995,1.19090113039,1.26364773551
63,PRIMARY_ONLY,ENTRY_FILLED,LOGIT_FULL,FS3_FULL_SIGNAL_STATE,POOLED_2016_2026,Bottom 20% Rows,2000,147,152,157
